,COAST,EAST,FWEST,NORTH,NCENT,SOUTH,SCENT,WEST,ERCOT
2017-02-24 05:00:00-06:00,8585.1630271,912.8159783,2059.2960772,637.431371,9094.7723935,2345.2755297,4402.7392392,860.7452892,28898.2389052
2017-02-24 06:00:00-06:00,9327.0567534,1081.2064667,2132.762851,706.6603329,10330.7818593,2635.7036803,5089.6717284,968.3038252,32272.1474972
2017-02-24 07:00:00-06:00,9475.2242069,1117.5711433,2179.4523895,739.7691248,10828.7430871,2685.7596653,5267.5012518,994.032186,33288.0530547
2017-02-24 08:00:00-06:00,9783.3089955,1112.8378404,2182.7586567,753.6082315,10970.4318506,2762.3510926,5314.5582865,966.9426397,33846.7975935
2017-02-24 09:00:00-06:00,10275.9492165,1184.7285209,2197.121209,759.9560969,11078.7027123,2937.549946,5554.5907037,977.9884761,34966.5868814
2017-02-24 10:00:00-06:00,10702.9296616,1238.9650397,2195.1716515,761.6915484,11156.3575823,3144.001413,5649.5227268,997.1490603,35845.7886836
2017-02-24 11:00:00-06:00,11077.3689229,1233.4066686,2189.5286449,751.1524305,11115.459569,3344.9391655,5828.2711435,1003.971302,36544.0978469
2017-02-24 12:00:00-06:00,11449.4654822,1253.1514203,2179.681522,733.2349987,11007.1059415,3514.8777762,5932.1667787,1010.6106998,37080.2946194
2017-02-24 13:00:00-06:00,11978.4114072,1255.2849463,2195.9441024,727.1590039,10942.6635183,3686.9290425,6060.1095432,1013.4106013,37859.9121651
2017-02-24 14:00:00-06:00,12226.9665657,1261.3730251,2184.6606617,712.9955382,10880.4369967,3777.437342,6188.9469715,999.9215045,38232.7386054
2017-02-24 15:00:00-06:00,12286.8904033,1244.9643283,2178.9997746,702.4562321,10716.4914555,3815.8165547,6223.9672278,995.944653,38165.5306293
2017-02-24 16:00:00-06:00,12137.971939,1215.0409782,2166.5336827,691.5455158,10669.9504673,3802.5827458,6242.6381786,999.4187129,37925.6822203
2017-02-24 17:00:00-06:00,11526.6660853,1182.8978694,2141.7703321,693.9440545,10680.5998658,3645.334415,6116.6427439,999.7784788,36987.6338448
2017-02-24 18:00:00-06:00,10964.5944472,1202.7722839,2134.508102,724.3492225,11068.7556916,3459.0894377,5947.050042,986.0819765,36487.2012034
2017-02-24 19:00:00-06:00,10682.2572125,1205.7092481,2167.6400703,747.7157915,11335.7192412,3396.2629084,5901.0108765,1002.6870118,36439.0023603
2017-02-24 20:00:00-06:00,10258.0714874,1170.9107958,2165.3978651,752.9682034,11182.1115735,3226.1571918,5680.825187,1018.2434787,35454.6857827
2017-02-24 21:00:00-06:00,9774.1415396,1138.4527613,2147.244249,745.7021882,10920.7854797,3037.1366013,5374.9236655,1036.2886978,34174.6751824
2017-02-24 22:00:00-06:00,9279.5779354,1062.6557213,2140.217605,730.9830942,10468.1026237,2865.5095831,5026.8232,994.4277765,32568.2975392
2017-02-24 23:00:00-06:00,8754.676214,989.4539916,2120.9126167,719.2468939,10005.2515641,2650.2663461,4634.752303,937.2129338,30811.7728632
2017-02-25 00:00:00-06:00,8089.0758651,1001.2694957,2080.3592417,707.1145531,9684.5571992,2404.1340737,4320.0712189,946.3027086,29232.884356
2017-02-25 01:00:00-06:00,7780.3882648,981.1571168,2073.8606513,703.8045821,9523.2182793,2250.3114096,4123.7593011,936.7508616,28373.2504666
2017-02-25 02:00:00-06:00,7616.2183606,963.4617305,2070.5788871,709.9186942,9515.2941274,2148.9632616,4032.4033233,939.4861685,27996.3245532
