//scn,ara,int,BalancePrice,LoadFlowPrice,LoadLossPrice,LoadPrice,SourceFlowPrice,SourceLossPrice,SourcePrice,Loss,LossUpdate,LossError
ScnDA,WZ_NORTH_CENTRAL,9,63.386,-29.890,0.000,33.496,-30.440,0.000,32.946,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_NORTH_CENTRAL,10,5.869,26.744,0.000,32.614,24.800,0.000,30.670,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_NORTH_CENTRAL,11,4.366,27.714,0.000,32.080,25.445,0.000,29.811,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_NORTH_CENTRAL,12,4.705,26.372,0.000,31.077,23.514,0.000,28.219,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_NORTH_CENTRAL,13,4.163,26.103,0.000,30.266,23.744,0.000,27.907,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_NORTH_CENTRAL,14,4.020,26.166,0.000,30.186,23.782,0.000,27.802,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_NORTH_CENTRAL,15,3.297,25.499,0.000,28.797,23.146,0.000,26.443,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_NORTH_CENTRAL,16,2.139,26.666,0.000,28.805,24.319,0.000,26.458,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_NORTH_CENTRAL,17,3.323,26.637,0.000,29.960,24.307,0.000,27.630,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_NORTH_CENTRAL,18,8.302,22.679,0.000,30.981,20.170,0.000,28.472,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_NORTH_CENTRAL,19,17.298,17.511,0.000,34.810,11.458,0.000,28.756,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_NORTH_CENTRAL,20,28.831,3.684,0.000,32.515,1.337,0.000,30.168,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_NORTH_CENTRAL,21,28.648,3.822,0.000,32.470,1.396,0.000,30.044,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_NORTH_CENTRAL,22,29.161,2.652,0.000,31.813,0.149,0.000,29.310,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_NORTH_CENTRAL,23,15.936,12.808,0.000,28.743,9.723,0.000,25.659,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_NORTH_CENTRAL,24,15.834,12.778,0.000,28.612,9.986,0.000,25.821,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_SOUTHERN,1,41.777,-11.847,0.000,29.931,-11.784,0.000,29.994,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_SOUTHERN,2,47.236,-16.735,0.000,30.501,-16.685,0.000,30.551,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_SOUTHERN,3,52.955,-20.382,0.000,32.573,-20.350,0.000,32.605,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_SOUTHERN,4,53.798,-21.312,0.000,32.485,-21.268,0.000,32.529,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_SOUTHERN,5,61.833,-29.094,0.000,32.739,-29.095,0.000,32.738,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_SOUTHERN,6,64.236,-31.110,0.000,33.126,-31.118,0.000,33.118,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_SOUTHERN,7,65.233,-31.656,0.000,33.577,-31.665,0.000,33.568,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_SOUTHERN,8,65.369,-31.715,0.000,33.653,-31.724,0.000,33.644,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_SOUTHERN,9,63.386,-30.497,0.000,32.889,-30.491,0.000,32.895,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_SOUTHERN,10,5.869,25.890,0.000,31.759,26.086,0.000,31.955,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_SOUTHERN,11,4.366,27.594,0.000,31.960,27.787,0.000,32.153,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_SOUTHERN,12,4.705,26.807,0.000,31.511,27.005,0.000,31.710,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_SOUTHERN,13,4.163,27.265,0.000,31.428,27.463,0.000,31.626,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_SOUTHERN,14,4.020,27.506,0.000,31.526,27.702,0.000,31.722,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_SOUTHERN,15,3.297,28.166,0.000,31.463,28.368,0.000,31.665,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_SOUTHERN,16,2.139,29.437,0.000,31.576,29.621,0.000,31.760,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_SOUTHERN,17,3.323,28.315,0.000,31.638,28.516,0.000,31.839,+0.0000e+000,+0.0000e+000,+0.0000e+000
