//scn,inj,int,LMP,BalancePrice,FlowPrice,LossPrice,LossFactor,LfUpdate,LfError
ScnDA,110012_N2,22,32.122,29.161,2.961,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110012_N2,23,30.710,15.936,14.775,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110012_N2,24,30.475,15.834,14.641,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110013_N3,1,30.844,41.777,-10.933,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110013_N3,2,30.901,47.236,-16.335,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110013_N3,3,31.970,52.955,-20.985,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110013_N3,4,32.496,53.798,-21.302,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110013_N3,5,32.282,61.833,-29.550,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110013_N3,6,32.582,64.236,-31.654,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110013_N3,7,32.995,65.233,-32.238,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110013_N3,8,33.068,65.369,-32.300,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110013_N3,9,33.010,63.386,-30.376,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110013_N3,10,32.463,5.869,26.593,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110013_N3,11,32.370,4.366,28.004,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110013_N3,12,31.653,4.705,26.948,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110013_N3,13,31.331,4.163,27.168,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110013_N3,14,31.343,4.020,27.323,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110013_N3,15,30.901,3.297,27.603,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110013_N3,16,30.928,2.139,28.789,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110013_N3,17,31.359,3.323,28.036,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110013_N3,18,31.989,8.302,23.687,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110013_N3,19,32.822,17.298,15.524,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110013_N3,20,32.563,28.831,3.732,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110013_N3,21,32.558,28.648,3.910,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110013_N3,22,32.122,29.161,2.961,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110013_N3,23,30.710,15.936,14.775,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110013_N3,24,30.475,15.834,14.641,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110014_N4,1,30.844,41.777,-10.933,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110014_N4,2,30.901,47.236,-16.335,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110014_N4,3,31.970,52.955,-20.985,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110014_N4,4,32.496,53.798,-21.302,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110014_N4,5,32.282,61.833,-29.550,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110014_N4,6,32.582,64.236,-31.654,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110014_N4,7,32.995,65.233,-32.238,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110014_N4,8,33.068,65.369,-32.300,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110014_N4,9,33.010,63.386,-30.376,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110014_N4,10,32.463,5.869,26.593,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110014_N4,11,32.370,4.366,28.004,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110014_N4,12,31.653,4.705,26.948,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110014_N4,13,31.331,4.163,27.168,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110014_N4,14,31.343,4.020,27.323,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110014_N4,15,30.901,3.297,27.603,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110014_N4,16,30.928,2.139,28.789,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110014_N4,17,31.359,3.323,28.036,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110014_N4,18,31.989,8.302,23.687,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110014_N4,19,32.822,17.298,15.524,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110014_N4,20,32.563,28.831,3.732,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110014_N4,21,32.558,28.648,3.910,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110014_N4,22,32.122,29.161,2.961,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110014_N4,23,30.710,15.936,14.775,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
