id,scn,start,end,cap_mod,bat,bat_mod,bat_min,bat_loc,xm_mod,dr_amnt,scn_ref,xm_rlx,xm_sf,xm_viol,ltsa,fev,ld_mdl,desc,ts,rpt_all,curtail
149,Scn_701,2013-11-20,2013-11-30,0,FALSE,0,0,"",0,0,"",0.2,0,0,ltsa_current_trends,concentrated,ARA,testing 20% xm relax,2020-04-29 10:50:21 -0500,none,0
156,Scn_701,2013-11-20,2013-11-30,0,FALSE,0,0,"",0,0,"",0.2,0,0,ltsa_current_trends,concentrated,ARA,(adding chg report),2020-04-30 11:28:39 -0500,chg,0
150,Scn_702,2013-11-20,2013-11-30,1,FALSE,0,0,"",0,0,"",0.2,0,0,ltsa_current_trends,concentrated,ARA,testing 20% xm relax,2020-04-29 10:50:36 -0500,none,0
151,Scn_704,2013-11-20,2013-11-30,0.75,FALSE,0,0,"",0,0,"",0.2,0,0,ltsa_current_trends,concentrated,ARA,testing 20% xm relax,2020-04-29 10:50:49 -0500,none,0
152,Scn_705,2013-11-20,2013-11-30,1.25,FALSE,0,0,"",0,0,"",0.2,0,0,ltsa_current_trends,concentrated,ARA,testing 20% xm relax,2020-04-29 10:51:03 -0500,none,0
153,Scn_709,2013-11-20,2013-11-30,1,FALSE,0,0,"",0,0,"",0.2,0,0,ltsa_current_trends,dispersed,ARA,testing 20% xm relax,2020-04-29 10:51:17 -0500,none,0
154,Scn_711,2013-11-20,2013-11-30,0.75,FALSE,0,0,"",0,0,"",0.2,0,0,ltsa_current_trends,dispersed,ARA,testing 20% xm relax,2020-04-29 10:51:31 -0500,none,0
155,Scn_712,2013-11-20,2013-11-30,1.25,FALSE,0,0,"",0,0,"",0.2,0,0,ltsa_current_trends,dispersed,ARA,testing 20% xm relax,2020-04-29 10:51:45 -0500,none,0
142,Scn_801,2013-11-20,2013-11-30,0,FALSE,0,0,"",0,0,"",0.1,0,0,ltsa_current_trends,concentrated,ARA,testing 10% xm relax,2020-04-29 07:25:39 -0500,none,0
143,Scn_802,2013-11-20,2013-11-30,1,FALSE,0,0,"",0,0,"",0.1,0,0,ltsa_current_trends,concentrated,ARA,testing 10% xm relax,2020-04-29 07:26:53 -0500,none,0
144,Scn_804,2013-11-20,2013-11-30,0.75,FALSE,0,0,"",0,0,"",0.1,0,0,ltsa_current_trends,concentrated,ARA,testing 10% xm relax,2020-04-29 07:27:12 -0500,none,0
145,Scn_805,2013-11-20,2013-11-30,1.25,FALSE,0,0,"",0,0,"",0.1,0,0,ltsa_current_trends,concentrated,ARA,testing 10% xm relax,2020-04-29 07:27:33 -0500,none,0
146,Scn_809,2013-11-20,2013-11-30,1,FALSE,0,0,"",0,0,"",0.1,0,0,ltsa_current_trends,dispersed,ARA,testing 10% xm relax,2020-04-29 07:27:49 -0500,none,0
147,Scn_811,2013-11-20,2013-11-30,0.75,FALSE,0,0,"",0,0,"",0.1,0,0,ltsa_current_trends,dispersed,ARA,testing 10% xm relax,2020-04-29 07:28:07 -0500,none,0
148,Scn_812,2013-11-20,2013-11-30,1.25,FALSE,0,0,"",0,0,"",0.1,0,0,ltsa_current_trends,dispersed,ARA,testing 10% xm relax,2020-04-29 07:28:25 -0500,none,0
140,Scn_900,2013-11-20,2013-11-21,1,FALSE,0,0,"",0,0,"",0,0,0,ltsa_current_trends,concentrated,ARA,trimming load to one bus,2020-04-15 22:46:03 -0500,none,0
141,Scn_901,2013-11-20,2013-11-21,1,FALSE,0,0,"",0,0,"",0,0,0,ltsa_current_trends,concentrated,INJ,trimming load to one bus,2020-04-15 22:46:14 -0500,none,0
